Artist,Title,Length
Time Catalyst,Mystery of the Woods,4:31
Time Catalyst,Fight I,1:34
Time Catalyst,Bravery and Dignity,3:17
Time Catalyst,Sanctuary,0:34
Time Catalyst,Mute Glow,2:10
Time Catalyst,Great Fight I,1:16
Time Catalyst,Amphibian's Melody,1:07
Time Catalyst,Time Catalyst,1:59
Time Catalyst,Celebration I,0:37
Time Catalyst,Monarchy Court Proceeding,3:31
Time Catalyst,A Moment of Urgency,1:46
Time Catalyst,Placid Times,2:38
Time Catalyst,Recollections of Verdancy,3:42
Time Catalyst,Millennium Festival,3:06
Time Catalyst,Breeze Setting,3:11
Time Catalyst,Remnants of the Shop,2:58
Time Catalyst,Fight II,1:20
Time Catalyst,Edge of Eternity,2:18
Time Catalyst,Cheerful Creature,2:38
Time Catalyst,Subterranean Water,2:05
Time Catalyst,Great Fight II,2:29
Time Catalyst,Cave Woman's Melody,1:16
Time Catalyst,Fight with the Dark Mage,2:49
Time Catalyst,Workship 16's Remains,1:21
Time Catalyst,Apocalyptoid's Melody,4:55
Time Catalyst,The Time the Planet Reawoke,1:09
Time Catalyst,Mechnical Clan,1:23
Time Catalyst,Moto Race,0:59
Time Catalyst,Robot's Melody,1:21
Time Catalyst,Choral Peak,1:54
Time Catalyst,Feathers that Traverse Ages,3:08
Time Catalyst,Dark Harbinger,2:53
Time Catalyst,Global Uprising,3:37
Time Catalyst,Final Fight,3:34
Time Catalyst,Foremost Celebration of Cosmos,2:34
Time Catalyst,Ending ~ To Great Companions,2:03
Time Catalyst,To Distant Eras,4:19
Time Catalyst,Dino Fortress,3:40
Time Catalyst,At the Low of Eventide,2:19
Time Catalyst,Temporal Hallways,2:49
Time Catalyst,Mysterious Woman's Melody,2:32
Time Catalyst,Impenetrable Gate,2:29
Time Catalyst,Oceanbottom Hall,3:07
Draconic Mission 11: Memories of an Bygone Era,Main Theme,1:59
Draconic Mission 11: Memories of an Bygone Era,Restored by the Chorus,2:48
Draconic Mission 11: Memories of an Bygone Era,Champion's Victorious Arrival,3:28
Draconic Mission 11: Memories of an Bygone Era,To an Expansive Realm,4:36
Draconic Mission 11: Memories of an Bygone Era,Busy Municipality,4:47
Draconic Mission 11: Memories of an Bygone Era,Royal Hall,4:02
Draconic Mission 11: Memories of an Bygone Era,Walking through the Grasslands,2:22
Draconic Mission 11: Memories of an Bygone Era,Peaceful Settlement,3:37
Draconic Mission 11: Memories of an Bygone Era,Slumbrous Municipality,3:38
Draconic Mission 11: Memories of an Bygone Era,Far Awary Recollections,4:31
Draconic Mission 11: Memories of an Bygone Era,Twilight in the Pasture,2:58
Draconic Mission 11: Memories of an Bygone Era,In the Municipality,1:52
Draconic Mission 11: Memories of an Bygone Era,Return of the Champions,1:23
Draconic Mission 11: Memories of an Bygone Era,Bravo! Performer!,3:57
Draconic Mission 11: Memories of an Bygone Era,The Essence of Valor,4:59
Draconic Mission 11: Memories of an Bygone Era,Ocean Wind,5:12
Draconic Mission 11: Memories of an Bygone Era,Fight for Acclaim,4:19
Draconic Mission 11: Memories of an Bygone Era,With Unhappiness in Mind,4:50
Draconic Mission 11: Memories of an Bygone Era,Cause Me to be Unhappy,4:26
Draconic Mission 11: Memories of an Bygone Era,The Magician,3:09
Draconic Mission 11: Memories of an Bygone Era,Rays through the Boughs of Adoration,4:14
Draconic Mission 11: Memories of an Bygone Era,Gambling Establishment,4:29
Draconic Mission 11: Memories of an Bygone Era,Optimism,0:46
Draconic Mission 11: Memories of an Bygone Era,The Academy of Our Master the Medals,4:07
Draconic Mission 11: Memories of an Bygone Era,Safe Place,3:17
Draconic Mission 11: Memories of an Bygone Era,The Champion Advances,3:19
Draconic Mission 11: Memories of an Bygone Era,Airborn Porpoise,5:00
Draconic Mission 11: Memories of an Bygone Era,Settlement of Legends,3:17
Draconic Mission 11: Memories of an Bygone Era,Settlement Conceiled in the Hills,4:29
Draconic Mission 11: Memories of an Bygone Era,The Castle,5:11
Draconic Mission 11: Memories of an Bygone Era,Enterprise,4:17
Draconic Mission 11: Memories of an Bygone Era,Memories of a Bygone Era,9:48
Draconic Knight,Main Theme,1:17
Last Legend,Preamble,1:20
Last Legend,Deepsea Sanctum,0:54
Last Legend,Skyboat,0:46
Last Legend,Volcano,1:08
Last Legend,Fight,1:31
Last Legend,Triumph,0:33
